,long,lat,value
144,-25.6304535,-49.20767754,1.0
145,-25.6304535,-49.20359526,1.0
146,-25.6304535,-49.19951298,1.0
147,-25.6304535,-49.1954307,1.0
148,-25.6304535,-49.19134842,1.0
149,-25.6304535,-49.18726614,1.0
150,-25.6244805,-49.38729786,1.0
151,-25.6244805,-49.38321558,1.0
152,-25.6244805,-49.3791333,1.0
153,-25.6244805,-49.37505102,1.0
154,-25.6244805,-49.37096874,1.0
155,-25.6244805,-49.36688646,1.0
156,-25.6244805,-49.36280418,1.0
157,-25.6244805,-49.3587219,1.0
158,-25.6244805,-49.35463962,1.0
159,-25.6244805,-49.35055734,1.0
160,-25.6244805,-49.34647506,1.0
161,-25.6244805,-49.34239278,1.0
162,-25.6244805,-49.3383105,1.0
163,-25.6244805,-49.33422822,1.0
164,-25.6244805,-49.33014594,1.0
165,-25.6244805,-49.32606366,1.0
166,-25.6244805,-49.32198138,1.0
167,-25.6244805,-49.3178991,1.0
168,-25.6244805,-49.31381682,1.0
169,-25.6244805,-49.30973454,1.0
170,-25.6244805,-49.30565226,1.0
171,-25.6244805,-49.30156998,1.0
172,-25.6244805,-49.2974877,1.0
173,-25.6244805,-49.29340542,1.0
174,-25.6244805,-49.28932314,1.0
175,-25.6244805,-49.28524086,1.0
176,-25.6244805,-49.28115858,1.0
177,-25.6244805,-49.2770763,1.0
178,-25.6244805,-49.27299402,1.0
179,-25.6244805,-49.26891174,1.0
180,-25.6244805,-49.26482946,1.0
181,-25.6244805,-49.26074718,1.0
182,-25.6244805,-49.2566649,1.0
183,-25.6244805,-49.25258262,1.0
184,-25.6244805,-49.24850034,1.0
185,-25.6244805,-49.24441806,1.0
186,-25.6244805,-49.24033578,1.0
187,-25.6244805,-49.2362535,1.0
188,-25.6244805,-49.23217122,1.0
189,-25.6244805,-49.22808894,1.0
190,-25.6244805,-49.22400666,1.0
191,-25.6244805,-49.21992438,1.0
192,-25.6244805,-49.2158421,1.0
193,-25.6244805,-49.21175982,1.0
194,-25.6244805,-49.20767754,1.0
195,-25.6244805,-49.20359526,1.0
196,-25.6244805,-49.19951298,1.0
197,-25.6244805,-49.1954307,1.0
198,-25.6244805,-49.19134842,1.0
199,-25.6244805,-49.18726614,1.0
200,-25.6185075,-49.38729786,1.0
201,-25.6185075,-49.38321558,1.0
202,-25.6185075,-49.3791333,1.0
203,-25.6185075,-49.37505102,1.0
204,-25.6185075,-49.37096874,1.0
205,-25.6185075,-49.36688646,1.0
206,-25.6185075,-49.36280418,1.0
207,-25.6185075,-49.3587219,1.0
208,-25.6185075,-49.35463962,1.0
209,-25.6185075,-49.35055734,1.0
210,-25.6185075,-49.34647506,1.0
211,-25.6185075,-49.34239278,1.0
212,-25.6185075,-49.3383105,1.0
213,-25.6185075,-49.33422822,1.0
214,-25.6185075,-49.33014594,1.0
215,-25.6185075,-49.32606366,1.0
216,-25.6185075,-49.32198138,1.0
217,-25.6185075,-49.3178991,1.0
218,-25.6185075,-49.31381682,1.0
219,-25.6185075,-49.30973454,1.0
220,-25.6185075,-49.30565226,1.0
221,-25.6185075,-49.30156998,1.0
222,-25.6185075,-49.2974877,1.0
223,-25.6185075,-49.29340542,1.0
224,-25.6185075,-49.28932314,1.0
225,-25.6185075,-49.28524086,1.0
226,-25.6185075,-49.28115858,1.0
227,-25.6185075,-49.2770763,1.0
228,-25.6185075,-49.27299402,1.0
229,-25.6185075,-49.26891174,1.0
230,-25.6185075,-49.26482946,1.0
231,-25.6185075,-49.26074718,1.0
232,-25.6185075,-49.2566649,1.0
233,-25.6185075,-49.25258262,1.0
234,-25.6185075,-49.24850034,1.0
235,-25.6185075,-49.24441806,1.0
236,-25.6185075,-49.24033578,1.0
237,-25.6185075,-49.2362535,1.0
238,-25.6185075,-49.23217122,1.0
239,-25.6185075,-49.22808894,1.0
240,-25.6185075,-49.22400666,1.0
241,-25.6185075,-49.21992438,1.0
242,-25.6185075,-49.2158421,1.0
243,-25.6185075,-49.21175982,1.0
244,-25.6185075,-49.20767754,1.0
245,-25.6185075,-49.20359526,1.0
246,-25.6185075,-49.19951298,1.0
247,-25.6185075,-49.1954307,1.0
248,-25.6185075,-49.19134842,1.0
249,-25.6185075,-49.18726614,1.0
