West Longitude,South Latitude,East Longitude,North Latitude,IDgrid,Valid
-49.2138009082,-25.6214942047,-49.2097186354,-25.6155212009,244,0
-49.2097186354,-25.6214942047,-49.2056363627,-25.6155212009,245,0
-49.2056363627,-25.6214942047,-49.20155409,-25.6155212009,246,0
-49.20155409,-25.6214942047,-49.1974718172,-25.6155212009,247,0
-49.1974718172,-25.6214942047,-49.1933895445,-25.6155212009,248,0
-49.1933895445,-25.6214942047,-49.1893072717,-25.6155212009,249,0
-49.1893072717,-25.6214942047,-49.185224999,-25.6155212009,250,0
-49.389338636,-25.6155212009,-49.3852563633,-25.6095481971,251,0
-49.3852563633,-25.6155212009,-49.3811740905,-25.6095481971,252,0
-49.3811740905,-25.6155212009,-49.3770918178,-25.6095481971,253,0
-49.3770918178,-25.6155212009,-49.373009545,-25.6095481971,254,0
-49.373009545,-25.6155212009,-49.3689272723,-25.6095481971,255,0
-49.3689272723,-25.6155212009,-49.3648449996,-25.6095481971,256,0
-49.3648449996,-25.6155212009,-49.3607627268,-25.6095481971,257,0
-49.3607627268,-25.6155212009,-49.3566804541,-25.6095481971,258,1
-49.3566804541,-25.6155212009,-49.3525981813,-25.6095481971,259,1
-49.3525981813,-25.6155212009,-49.3485159086,-25.6095481971,260,1
-49.3485159086,-25.6155212009,-49.3444336359,-25.6095481971,261,1
-49.3444336359,-25.6155212009,-49.3403513631,-25.6095481971,262,1
-49.3403513631,-25.6155212009,-49.3362690904,-25.6095481971,263,1
-49.3362690904,-25.6155212009,-49.3321868176,-25.6095481971,264,1
-49.3321868176,-25.6155212009,-49.3281045449,-25.6095481971,265,1
-49.3281045449,-25.6155212009,-49.3240222722,-25.6095481971,266,1
-49.3240222722,-25.6155212009,-49.3199399994,-25.6095481971,267,1
-49.3199399994,-25.6155212009,-49.3158577267,-25.6095481971,268,1
-49.3158577267,-25.6155212009,-49.3117754539,-25.6095481971,269,1
-49.3117754539,-25.6155212009,-49.3076931812,-25.6095481971,270,1
-49.3076931812,-25.6155212009,-49.3036109085,-25.6095481971,271,1
-49.3036109085,-25.6155212009,-49.2995286357,-25.6095481971,272,1
-49.2995286357,-25.6155212009,-49.295446363,-25.6095481971,273,1
-49.295446363,-25.6155212009,-49.2913640902,-25.6095481971,274,1
-49.2913640902,-25.6155212009,-49.2872818175,-25.6095481971,275,1
-49.2872818175,-25.6155212009,-49.2831995448,-25.6095481971,276,1
-49.2831995448,-25.6155212009,-49.279117272,-25.6095481971,277,1
-49.279117272,-25.6155212009,-49.2750349993,-25.6095481971,278,1
-49.2750349993,-25.6155212009,-49.2709527265,-25.6095481971,279,1
-49.2709527265,-25.6155212009,-49.2668704538,-25.6095481971,280,1
-49.2668704538,-25.6155212009,-49.2627881811,-25.6095481971,281,0
-49.2627881811,-25.6155212009,-49.2587059083,-25.6095481971,282,0
-49.2587059083,-25.6155212009,-49.2546236356,-25.6095481971,283,0
-49.2546236356,-25.6155212009,-49.2505413628,-25.6095481971,284,0
-49.2505413628,-25.6155212009,-49.2464590901,-25.6095481971,285,0
-49.2464590901,-25.6155212009,-49.2423768174,-25.6095481971,286,0
-49.2423768174,-25.6155212009,-49.2382945446,-25.6095481971,287,0
-49.2382945446,-25.6155212009,-49.2342122719,-25.6095481971,288,0
-49.2342122719,-25.6155212009,-49.2301299991,-25.6095481971,289,0
-49.2301299991,-25.6155212009,-49.2260477264,-25.6095481971,290,0
-49.2260477264,-25.6155212009,-49.2219654537,-25.6095481971,291,0
-49.2219654537,-25.6155212009,-49.2178831809,-25.6095481971,292,0
-49.2178831809,-25.6155212009,-49.2138009082,-25.6095481971,293,0
-49.2138009082,-25.6155212009,-49.2097186354,-25.6095481971,294,0
-49.2097186354,-25.6155212009,-49.2056363627,-25.6095481971,295,0
-49.2056363627,-25.6155212009,-49.20155409,-25.6095481971,296,0
-49.20155409,-25.6155212009,-49.1974718172,-25.6095481971,297,0
-49.1974718172,-25.6155212009,-49.1933895445,-25.6095481971,298,0
-49.1933895445,-25.6155212009,-49.1893072717,-25.6095481971,299,0
-49.1893072717,-25.6155212009,-49.185224999,-25.6095481971,300,0
-49.389338636,-25.6095481971,-49.3852563633,-25.6035751933,301,0
-49.3852563633,-25.6095481971,-49.3811740905,-25.6035751933,302,0
-49.3811740905,-25.6095481971,-49.3770918178,-25.6035751933,303,0
-49.3770918178,-25.6095481971,-49.373009545,-25.6035751933,304,0
-49.373009545,-25.6095481971,-49.3689272723,-25.6035751933,305,0
-49.3689272723,-25.6095481971,-49.3648449996,-25.6035751933,306,0
-49.3648449996,-25.6095481971,-49.3607627268,-25.6035751933,307,0
-49.3607627268,-25.6095481971,-49.3566804541,-25.6035751933,308,1
-49.3566804541,-25.6095481971,-49.3525981813,-25.6035751933,309,1
-49.3525981813,-25.6095481971,-49.3485159086,-25.6035751933,310,1
-49.3485159086,-25.6095481971,-49.3444336359,-25.6035751933,311,1
-49.3444336359,-25.6095481971,-49.3403513631,-25.6035751933,312,1
-49.3403513631,-25.6095481971,-49.3362690904,-25.6035751933,313,1
-49.3362690904,-25.6095481971,-49.3321868176,-25.6035751933,314,1
-49.3321868176,-25.6095481971,-49.3281045449,-25.6035751933,315,1
-49.3281045449,-25.6095481971,-49.3240222722,-25.6035751933,316,1
-49.3240222722,-25.6095481971,-49.3199399994,-25.6035751933,317,1
-49.3199399994,-25.6095481971,-49.3158577267,-25.6035751933,318,1
-49.3158577267,-25.6095481971,-49.3117754539,-25.6035751933,319,1
-49.3117754539,-25.6095481971,-49.3076931812,-25.6035751933,320,1
-49.3076931812,-25.6095481971,-49.3036109085,-25.6035751933,321,1
-49.3036109085,-25.6095481971,-49.2995286357,-25.6035751933,322,1
-49.2995286357,-25.6095481971,-49.295446363,-25.6035751933,323,1
-49.295446363,-25.6095481971,-49.2913640902,-25.6035751933,324,1
-49.2913640902,-25.6095481971,-49.2872818175,-25.6035751933,325,1
-49.2872818175,-25.6095481971,-49.2831995448,-25.6035751933,326,1
-49.2831995448,-25.6095481971,-49.279117272,-25.6035751933,327,1
-49.279117272,-25.6095481971,-49.2750349993,-25.6035751933,328,1
-49.2750349993,-25.6095481971,-49.2709527265,-25.6035751933,329,1
-49.2709527265,-25.6095481971,-49.2668704538,-25.6035751933,330,1
-49.2668704538,-25.6095481971,-49.2627881811,-25.6035751933,331,0
-49.2627881811,-25.6095481971,-49.2587059083,-25.6035751933,332,0
-49.2587059083,-25.6095481971,-49.2546236356,-25.6035751933,333,0
-49.2546236356,-25.6095481971,-49.2505413628,-25.6035751933,334,0
-49.2505413628,-25.6095481971,-49.2464590901,-25.6035751933,335,0
-49.2464590901,-25.6095481971,-49.2423768174,-25.6035751933,336,0
-49.2423768174,-25.6095481971,-49.2382945446,-25.6035751933,337,0
-49.2382945446,-25.6095481971,-49.2342122719,-25.6035751933,338,0
-49.2342122719,-25.6095481971,-49.2301299991,-25.6035751933,339,0
-49.2301299991,-25.6095481971,-49.2260477264,-25.6035751933,340,0
-49.2260477264,-25.6095481971,-49.2219654537,-25.6035751933,341,0
-49.2219654537,-25.6095481971,-49.2178831809,-25.6035751933,342,0
-49.2178831809,-25.6095481971,-49.2138009082,-25.6035751933,343,0
-49.2138009082,-25.6095481971,-49.2097186354,-25.6035751933,344,0
-49.2097186354,-25.6095481971,-49.2056363627,-25.6035751933,345,0
-49.2056363627,-25.6095481971,-49.20155409,-25.6035751933,346,0
-49.20155409,-25.6095481971,-49.1974718172,-25.6035751933,347,0
-49.1974718172,-25.6095481971,-49.1933895445,-25.6035751933,348,0
-49.1933895445,-25.6095481971,-49.1893072717,-25.6035751933,349,0
-49.1893072717,-25.6095481971,-49.185224999,-25.6035751933,350,0
-49.389338636,-25.6035751933,-49.3852563633,-25.5976021894,351,0
-49.3852563633,-25.6035751933,-49.3811740905,-25.5976021894,352,0
-49.3811740905,-25.6035751933,-49.3770918178,-25.5976021894,353,0
-49.3770918178,-25.6035751933,-49.373009545,-25.5976021894,354,0
